propid,createdate,propfor,proptitle,propdesc,projid,blkid,price,userid,propcat,proptype,propsize,sizeunit,category,opensite,frontface,backface,floor,housetype,furnished,bedrooms,videopath,transfer,urlid,entered_by,referred_by,recstatus,recdate,actstatus,pricetype,roadid,salestatus,adtype,catid,temp_loc,temp_road,temp_area,consage,conscond,reasondesc,showprice,social
13,2018-02-26 08:18:59,Sale,125 Sqy Plot for Sale in Precinct-15,"125 Sq yards plot is available for sale in a prime location of Bahria Town Karachi at Precinct-15

Full paid direct owner",1,15,2250000,1,Residential,Plot,125,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-15-bahria-town-karachi-karachi-1-13,1,Feroze,U,2020-06-06 14:08:05,Y,Own Price,33,E,N,1,,0,,,,"",Y,Y
14,2018-02-26 08:23:02,Sale,Plot for Sale in Precinct-15 Ideal Location,"A good location plot is available for  sale in Precinct -14. A prime location of Bahria Town Karachi. Everyone wants to live there

Full paid file is up to date",1,15,2250000,1,Residential,Plot,125,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-15-bahria-town-karachi-karachi-1-14,1,Feroze,U,2020-06-06 14:08:05,Y,Own Price,33,E,N,1,,0,,,,"",Y,Y
15,2018-02-26 08:46:33,Sale,125 Sqy Plot for sale in Precinct-27,"Ideal location plot is available in a Good Residential Precinct of Bahria Town Karachi.
Development is in progress soon possession will be handed over.

General Category plot in reasonable price",1,30,1225000,2,Residential,Plot,125,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-27-bahria-town-karachi-karachi-2-15,2,Feroze,I,,Y,Own Price,1,E,N,1,,0,,,,"",Y,Y
16,2018-02-26 12:04:39,Sale,125 Loop Road for Sale in Precinct-15B,"Prime Location Plot is available for sale in Precinct-15B Bahria Town Karachi.

125 Sqy Plot on 60ft Loop Road. Near 500 sqy plots cutting and close to Bahria Paradise. An ideal location for living and investment

Full Paid",1,16,1250000,2,Residential,Plot,125,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-15b-bahria-town-karachi-karachi-2-16,2,Dubai Call on whatsapp,I,,Y,Own Price,36,E,L,5,,0,,,,"",Y,Y
17,2018-02-27 09:23:25,Sale,500 SQY Plot for Sale in Precinct-17,"Prime location Plot of 500 Sq Yards in Precinct-17

Best deal",1,18,7500000,2,Residential,Plot,500,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,500-sqy-plot-for-sale-precinct-17-bahria-town-karachi-karachi-2-17,2,Feroze,I,,Y,Own Price,37,E,N,1,,0,,,,"",Y,Y
18,2018-03-03 15:15:49,Sale,125 Sqy Plot for Sale in Precinct-10,"125 Sqy Yard
General Plot near bahria homes
Full paid
Ideal for investment ",1,10,1475000,2,Residential,Plot,125,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-10-bahria-town-karachi-karachi-2-18,2,Faisal Estate,I,,Y,Own Price,45,E,N,1,,0,,,,"",Y,Y
19,2018-03-07 07:58:20,Sale,Main Jinnah Facing 125 sqy plot in Precinct-28,"Plot for sale in Precinct-28 on a prime location.

West Open and Front open to Main Jinnah Avenue an ideal investment

Call for details",1,32,2000000,1,Residential,Plot,125,Sqy,General,West Open,Jinnah Avenue,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-28-bahria-town-karachi-karachi-1-19,1,Feroze,U,2020-06-06 14:08:05,Y,Own Price,60,E,N,1,,0,,,,"",Y,Y
20,2018-03-07 08:02:29,Sale,125 Sqy Plot for Sale in Ali Block Precinct-12,"125 sqy residential Good Location plot is available for sale in Ali Block

Very near to Big Park. Possession ready and start development",1,12,1225000,2,Residential,Plot,125,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-12-bahria-town-karachi-karachi-2-20,2,Feroze,I,,Y,Own Price,57,E,N,1,,0,,,,"",Y,Y
21,2018-03-10 14:52:46,Sale,666 Sq Yards Commercial Sector 5E New Karachi,"A good location 666 Sq Yards Commercial Plot is available for sale in Sector 5E New Karachi.

Best for investment and chance deal for builders. Builders can start their own projects.

Prime location where all civic facilities already available.",8,58,32500000,10,Commercial,Plot,666,Sqy,General,West Open,Commercial,Commercial,None,None,N,0,,,666-sqy-plot-for-sale-sector-5e-new-karachi-town-karachi-10-21,2,nafees,I,,Y,Total Price,61,E,N,1,,0,,,,"",Y,Y
22,2018-03-14 11:16:22,Sale,125 Sqy Plot for Sale in Precinct-10,"Prime location and ideal investment
125 SqYards Plot is for sale Precinct 10 BTK
Karachi transfer.
Plot No. 642
Direct Deal",1,10,1300000,10,Residential,Plot,125,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-10-bahria-town-karachi-karachi-10-22,2,Nafees,I,,Y,Own Price,45,E,N,1,,0,,,,"",Y,Y
23,2018-03-14 11:21:52,Sale,P15 80ft Boulevard for Sale,"An ideal location precinct. Best for Investment.
125 Sqy Plot is available for sale in Precinct -15 Bahria Town Karachi.
80 ft Boulevard
Plot No. 952-954",1,15,1750000,2,Residential,Plot,125,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-15-bahria-town-karachi-karachi-2-23,2,Nafees,I,,Y,Own Price,62,E,L,5,,0,,,,"",Y,Y
24,2018-04-05 12:38:05,Sale,3 Beds Apartment for sale in Sadaf Paradise Liaquatabad No. 1,"A excellent under-construction apartment on installments is available for sale in SADAF Paradise Liaquatabad No. 10.

3 Bed apartment on 3rd Floor in Golden B category. Total payable amount is 1,590,000 expected loan is 1,275,000. I have paid 600,000 in installments.

Seller demand is 850,000 and the buyer will pay remaining installments and loan.

The project is in fast pace of construction pace and will be ready on given time. SADAF PARADISE apartments have not only the advantages of a regular apartment such as security and convenient location but also all those of a house such as size and design. We establish astounding SADAF PARADISE apartment and it is form of four sided corner construction plot. There are 2 3,& 4 rooms apartment ",12,75,1590000,2,Residential,Apartment,800,Sqf,General,West Open,Plots,Apartment,3rd,None,N,3,,,800-sqf-apartment-for-sale-liquatabad-town-karachi-2-24,2,Rehan,I,,Y,Total Price,66,Y,N,1,Liaquatabad,24,7,"","","",Y,Y
25,2018-04-13 14:13:10,Sale,120 Sqy Plot for Sale in Saadi Garden Block 4,"A good location 120 Sq Yards plot is available in Saadi Garden Scheme 33 Block 4.

East Open on 24ft Road
Chance Deal ",13,79,3075000,2,Residential,Plot,120,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,120-sqy-plot-for-sale-block-4-saadi-garden-karachi-2-25,2,03422633068 - R165,I,,Y,Total Price,148,Y,L,1,,0,,,,"",Y,Y
26,2018-04-13 15:39:07,Sale,120 Sqy Plot for Sale in Saadi Garden Block-2,"A ideal location plot is available for sale in Block-2 Saadi Garden Scheme 33 Karachi.

120 Sqy near super highway
Transfer file",13,77,3275000,2,Residential,Plot,120,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,120-sqy-plot-for-sale-block-2-saadi-garden-karachi-2-26,2,03422633068 R50-55 ,I,,Y,Total Price,142,E,W,1,,0,,,,"",Y,Y
27,2018-04-14 00:25:09,Sale,Bahria town Karachi residential plot,"P-30/ Park Facing Street prime location plot for residential available for sale in low budget plz contact with us for more details.
Inayat 03009313162",1,34,1800000,13,Residential,Plot,250,Sqy,General,East Open,Park,Plots,None,Single,N,0,,,250-sqy-plot-for-sale-precinct-30-bahria-town-karachi-karachi-13-27,13,By a friend,I,,Y,Own Price,8,E,N,1,,0,,,,"",Y,Y
28,2018-04-22 03:23:10,Sale,120 Sqy Plot for Sale in Block 1 Pir Ahmed Zaman Town Sch33,"A prime location plot is available on sale in Block 1 of Pir Ahmed Zaman Town Scheme 33 Karachi.

A chance deal for buyers and investors. Ideal location to invest or build your own dream home.",15,81,3200000,14,Residential,Plot,120,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,120-sqy-plot-for-sale-block-1-pir-ahmed-zaman-town-karachi-14-28,2,Usama,I,,Y,Total Price,156,E,L,2,,0,,,,"",Y,Y
29,2018-04-27 09:15:54,Sale,240 Sqy Plot for sale in Pir Ahmed Zaman Town,"A good residential plot for sale in Block 2 Pir Ahmed Zaman Town Scheme 33 Karachi.

240 Sqy plot on 40ft Road Ideal Location
Direct deal",15,82,42000000,2,Residential,Plot,240,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,240-sqy-plot-for-sale-block-2-pir-ahmed-zaman-town-karachi-2-29,2,olx Dr yoursuf 03361121642,I,,Y,Total Price,160,Y,L,5,,0,,,,"",Y,Y
30,2018-05-05 05:08:22,Sale,200 Sqy Plot for Sale in Ahsan Grand City Scheme 33,"Ideal Plots for Sale in Block 4 Ahsan Grand City Scheme 33
200 Sqy.
East Open
30 Ft Road Facing
Near to Community Center
Ideal Location
",16,88,2800000,2,Residential,Plot,200,Sqy,General,East Open,Plots,Plots,None,None,N,0,https://www.youtube.com/embed/dCeYJQGqXdk?rel=0,,200-sqy-plot-for-sale-scheme-33-karachi-2-30,2,Shariq Plot 233,I,,Y,Total Price,180,Y,N,1,blk 4,24,13,"","","",Y,Y
33,2018-05-07 06:55:53,Sale,120 Sq. Yards Plot For Sale in Ahsan Garden Scheme 33,"120 Sq. Yards Plot for Sale in Ahsan Garden / Ahsan Grand City  in Scheme 33, Karachi

Near to Mosque & Park
East Open
24 Ft. Road Facing
Best Location",16,93,1500000,5,Residential,Plot,120,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,120-sqy-plot-for-sale-scheme-33-karachi-5-33,15,Shariq,I,,Y,Total Price,169,Y,N,1,blk D,24,13,"","","",Y,Y
34,2018-05-14 05:31:23,Sale,120 Sqy Plot For Sale in Block 3 Pir Ahmed Zaman Town,"120 Sqy Good Location Plot For Sale in Pir Ahmed Zaman Town, Scheme 33, Karachi.
40 Ft. Road Facing
Transfer File 
",15,83,2800000,16,Residential,Plot,120,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,120-sqy-plot-for-sale-block-3-pir-ahmed-zaman-town-karachi-16-34,15,"Farhan (kaniz Fatima)
03008910549",I,,Y,Total Price,163,E,L,5,,0,,,,"",Y,Y
35,2018-05-14 06:39:00,Sale,120 Sqy Corner Plot For Sale in Block 3 Pir Ahmed Zaman Town,"120 Sqy Good Location Plot For Sale in Pir Ahmed Zaman Town, Scheme 33, Karachi.

West Open
Corner
40 Ft. Road Facing
Transfer File
",15,83,3000000,16,Residential,Plot,120,Sqy,Corner,West Open,Plots,Plots,None,None,N,0,,,120-sqy-plot-for-sale-block-3-pir-ahmed-zaman-town-karachi-16-35,15,"Farhan (Kaniz Fatima)
03008910549",I,,Y,Total Price,163,E,L,24,,0,,,,"",Y,Y
36,2018-05-14 06:42:10,Sale,120 Sqy Plot For Sale in Block 3 Pir Ahmed Zaman Town,"120 Sqy Good Location Plot For Sale in Pir Ahmed Zaman Town, Scheme 33, Karachi.

25 Ft. Road Facing
East Open
Transfer File
",15,83,2900000,16,Residential,Plot,120,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,120-sqy-plot-for-sale-block-3-pir-ahmed-zaman-town-karachi-16-36,15,"Farhan (Kaniz Fatima)
03008910549",I,,Y,Total Price,162,E,N,1,,0,,,,"",Y,Y
37,2018-05-14 09:52:43,Sale,120 Sqy Plot for Sale in Block 3 Saadi Garden,"West Open
24 Ft. Road Facing
Ideal Location
Transfer File
",13,78,3700000,16,Residential,Plot,120,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,120-sqy-plot-for-sale-block-3-saadi-garden-karachi-16-37,15,Farhan Kaniz Fatima,I,,Y,Total Price,145,E,L,1,,0,,,,"",Y,Y
38,2018-05-21 01:27:10,Sale,200 Sqy Plot For Sale In Block 4 Ahsan Grand City,"200 Sqy Plot For Sale in Ahsan Garden/Ahsan Grand City Scheme 33, Karachi

Block 4
Corner 
West open 
30 Ft. Road Facing
60 Ft. Backside Road
Opp. Commercial Building
Ideal Location",16,88,2800000,5,Residential,Plot,200,Sqy,Corner,West Open,Plots,Plots,None,None,N,0,,,200-sqy-plot-for-sale-scheme-33-karachi-5-38,15,Shariq,I,,Y,Total Price,180,Y,W,16,block 4,24,13,"","","",Y,Y
39,2018-05-27 03:46:29,Sale,120 Sqy Plot For Sale in Ahsan Garden Scheme 33,"120 Sqy Plot for Sale in Block 2 Ahsan Garden Scheme 33, Karachi

West Open
24 Ft Road Facing
Ideal Location",16,90,2000000,5,Residential,Plot,120,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,120-sqy-plot-for-sale-scheme-33-karachi-5-39,15,Shariq olx,I,,Y,Total Price,192,Y,W,2,block2,24,13,"","","",Y,Y
40,2018-06-04 08:39:01,Sale,125 Sqy (5 Marla) Plot for Sale in Booking at Kings Park Gawadar,"5 Marla Plots are available on Booking in an Excellent Residential Society Kings Park Gawadar on Main Coastal Highway at Zero Point Gawadar.

Approved by GDA with Category A Noc.
Proper demarcated and real on ground housing project in Gawadar, Boundary Wall project with development work has started and site office already developed.

For booking of 125 Sq yards (5 Marla)  Plots
Selling Price: 1150000/-
20% Down Payment: 230000/-
36 Monthly Installments: 8000/-
12 Quarterly Installments: 23920/-
At Possession: 345000/- 
Book your plots now and secure your investments and family's future.

For booking and details pl contact
Saad Mahmood 
03000542198",19,141,1150000,17,Residential,Plot,125,Sqy,General,East Open,Plots,Plots,None,None,N,0,https://www.youtube.com/embed/uRc2r18xRcE?rel=0,Y,125-sqy-plot-for-sale-phase-i-kings-park-gawadar-gawadar-17-40,2,Saad Mahmood,I,,Y,Total Price,214,E,W,1,,0,,,,"",Y,Y
41,2018-06-04 13:16:59,Sale,250 SQY (10 MARLA) PLOT IN BOOKING AT KINGS PARK GAWADAR,"10 Marla Plots are available on Booking in an Excellent Residential Society Kings Park Gawadar on Main Coastal Highway at Zero Point Gawadar.

Approved by GDA with Category A Noc.
Proper demarcated and real on ground housing project in Gawadar, Boundary Wall project with development work has started and site office already developed.

For booking of 125 Sq yards (5 Marla)  Plots
Selling Price: 1150000/-
20% Down Payment: 230000/-
36 Monthly Installments: 8000/-
12 Quarterly Installments: 23920/-
At Possession: 345000/- 
Book your plots now and secure your investments and family's future.

For booking and details pl contact
Saad Mahmood 
03000542198",19,141,2100000,17,Residential,Plot,250,Sqy,General,East Open,Plots,Plots,None,None,N,0,https://www.youtube.com/embed/uRc2r18xRcE?rel=0,,250-sqy-plot-for-sale-phase-i-kings-park-gawadar-gawadar-17-41,2,Saad Mahmood,I,,Y,Total Price,214,E,W,1,,0,,,,"",Y,Y
42,2018-06-05 08:39:51,Rent,120 Sqy Corner Portion on Rent in Sector 15A3 Bufferzone,"A well maintained portion is available on rent in Sector 15A/3 Bufferzone North Nazimabad Karachi.

Corner on Ground Floor
No water and electricity issue
Good location to live all utilities are available in nearby.",18,136,22000,20,Residential,Portion,120,Sqy,Corner,East Open,Plots,Homes,None,None,N,0,,,120-sqy-portion-for-sale-sector-15-a-3-buffer-zone-karachi-20-42,20,Adeel aR Estate,I,,Y,Rent,215,E,N,15,,0,,,,"",Y,Y
43,2018-06-08 15:36:51,Rent, 120 Sqy Portion on 36ft Road in Sector 15A2 Bufferzone,"A good and newly constructed portion is available on Rent in Sector 15A/2 Bufferzone Karachi.

On 36ft road
Rent 25000",18,135,25000,58,Residential,Portion,120,Sqy,General,East Open,Plots,Homes,1st,None,N,0,,,120-sqy-portion-for-sale-58-43,2,"",I,,Y,Rent,219,E,N,1,Sector 15A 2,24,1,New,Normal,"",Y,Y
44,2018-06-10 04:26:23,"",150 Sqy. Commercial Plot For Sale in Ahsan Garden ,"A good location commercial plot is available for Sale in Block 2 of Ahsan Garden Scheme 33 Karachi
Corner
30 Ft. Road Facing
East Open

Cost of Land Rs. 20 Lac
",16,90,2000000,5,Commercial,Plot,150,Sqy,Corner,East Open,Plots,Plots,None,None,N,0,,,150-sqy-plot-for-sale-scheme-33-karachi-5-44,15,Shariq on Olx,I,,Y,Total Price,192,Y,N,15,blk2,24,13,"","","",Y,Y
45,2018-06-10 13:58:42,on,120 Sqy 3rd Floor Potion for Sale Bufferzone 15A-2,"3rd Floor Portion for Sale at Sector 15 A/2 Bufferzone Karachi.
Well constructed portion with 3 Bed DD alongwith Roof.
Separate Entrance 
Demand 75 Lac *negotiable with serious buyers
",18,135,7500000,20,Residential,Portion,120,Sqy,General,East Open,Plots,Homes,3rd,None,N,5,,,120-sqy-portion-for-sale-sector-15-a-2-buffer-zone-karachi-20-45,20,Adeel AR Estate,I,,Y,Total Price,219,E,N,1,,0,,,,"",Y,Y
46,2018-06-23 04:19:35,"",125 Plot for Sale in Precinct 10 Bahria Town,"125 Plot for Sale in Precinct 10 Bahria Town Karachi. 
Full paid
Plot No btw 868-870",1,10,3000000,21,Residential,Plot,125,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-bahria-town-karachi-karachi-21-46,21,faisal,I,,Y,Total Price,45,Y,N,1,btk,24,11,"","","",Y,Y
50,2018-06-27 07:17:46,Sale,400 Sqy Bungalow for Sale in Block 3 Saadi Town,"Beautiful and Stylish 400 Sqy Bungalow for Sale in Block 3 Saadi Town, Scheme 33 Karachi. Well constructed with high quality materials.

West Open
40 Ft. Road Facing (Main Road)
Double Story Well Constructed
Fully Furnished in Modern Style
Ideal Location
",17,133,38000000,15,Residential,Home,400,Sqy,General,West Open,Plots,Plots,None,Single,N,6,,,400-sqy-home-for-sale-block-3-saadi-town-karachi-15-50,15,"",I,,Y,Total Price,229,E,L,1,,0,,,,"",Y,Y
51,2018-07-02 07:17:57,"",200 Sqy Plot In Ahsan Garden / Ahsan Town Block 4,"200 Sqy Plots in Ahsan Garden/Ahsan Town Block 4, Scheme 33, Karachi
Near Commercial Building
30 Ft Front Road Facing
60 Ft Back Road Facing
East Open
Best option for living and investment, possession started soon
",16,88,2800000,5,Residential,Plot,200,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,200-sqy-plot-for-sale-scheme-33-karachi-5-51,15,shariq,I,,Y,Total Price,180,Y,L,1,blk 4,24,13,"","","",Y,Y
52,2018-07-05 06:02:38,"",1200 SqFt Flat for Sale in Anarkali Complex Ph 1 Bab e Ghazi,"A well maintained 4th Floor Apartment for sale in a VIP Location Anarkali Complex Phase 1 (Bab-e-Ghazi).

1200 Sq Ft
Very Airy and open view
Neat and Clean Project, maintained by Union. No security issue, no lod shedding no water problem. Ideal for living and investment",21,145,5500000,21,Residential,Apartment,1200,Sqf,General,East Open,Plots,Apartment,4th,None,N,5,,,1200-sqf-apartment-for-sale-north-karachi-town-karachi-21-52,21,self,I,,Y,Total Price,243,Y,N,1,nagna,24,5,"","","",Y,Y
53,2018-07-06 16:08:20,Sale,2 Bed Lounch Flat for Sale in Sadaf Paradise Liaquatabad No. 10,"An under-construction apartment on installments is available for sale in SADAF Paradise Liaquatabad No. 10.

2 Bed Lounch apartment on 9th Floor in Silver B category. I have paid 735,000 in installments. 
My demand is Rs. 900,000 and the remaining installments

A good deal for buyers looking an apartment in cheap rate in a good residential area of Liaquatabad",12,75,900000,23,Residential,Apartment,800,Sqf,General,East Open,Plots,Apartment,9th,None,N,2,,,800-sqf-apartment-for-sale-liquatabad-town-karachi-23-53,23,on call,I,,Y,Total Price,66,E,W,1,Liaquatabad No10,30,7,New,Normal,"",Y,Y
54,2018-07-07 04:42:07,Sale,200 SQY Plot for Sale in Ahsan Garden/Ahsan Town,"Block 4
30 Ft. Road Facing
60 Ft. Road Backside
Backside Commercial
All Dues Clear
",16,88,2850000,5,Residential,Plot,200,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,200-sqy-plot-for-sale-scheme-33-karachi-5-54,15,shariq,I,,Y,Total Price,183,Y,N,5,Near New Subzi Mandi,60,13,New,Normal,"",Y,Y
55,2018-07-07 07:15:31,Sale,200 SQY Plot for Sale in Diamond City Gulshan-e-Maymar,"Good Location 200 Sq Yards Plot for Sale in Diamond City Gulshan-e-Maymar, Scheme 33, Karachi.
West open
30 Ft. Road
Leased
Ideal Location for living & investment
Direct Deal",23,148,4300000,5,Residential,Plot,200,Sqy,General,West Open,Plots,Plots,None,None,N,0,https://www.youtube.com/embed/pNHWcBVhdkI?rel=0,,200-sqy-plot-for-sale-gulshan-e-maymar-karachi-5-55,15,azhar by shariq,I,,Y,Total Price,241,Y,L,1,.,30,16,New,Normal,"",Y,Y
56,2018-07-18 09:11:08,Sale,200 SQY Plot for Sale in Ahsan Garden/Ahsan Town,"Ahsan Garden/Ahsan Town Block 4, 200 Sq, Yards

30 ft Road Facing
Good Location & reasonable price
Best chance to deal and investment in this society
",16,88,2750000,5,Residential,Plot,200,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,200-sqy-plot-for-sale-scheme-33-karachi-5-56,15,Shariq,I,,Y,Total Price,181,Y,W,1,Near New Subzi Mandi,30,13,New,Normal,"",Y,Y
57,2018-07-18 09:43:01,Sale,120 Sq Yard Semi Constructed House for Sale in Zeenatabad CHS,"A good location House (Semi Constructed) is available for sale in Zeenatabad Cooperative Housing Society Sector 19/A Scheme 33.
Infront of commercial plots
24 ft Road
Plot No between R-80 To R-85",5,53,5700000,2,Residential,Home,120,Sqy,General,East Open,Plots,Plots,None,Single,N,2,,,120-sqy-home-for-sale-scheme-33-karachi-2-57,2,Mir Asif,I,,Y,Total Price,14,E,L,1,Sector 19/A,24,13,Old,Normal,"",Y,Y
58,2018-07-20 13:42:34,Rent,120 Sqy First Floor Portion on Rent in 15A4 Bufferzone,"A good location Portion is available on Rent in Bufferzone Sector 15 A/4.
120 Sqy.
First Floor
2 Bed DD

Contact Adeel 03333961377",18,137,22000,20,Residential,Portion,120,Sqy,General,East Open,Homes,Homes,1st,None,N,4,,,120-sqy-portion-for-sale-north-nazimabad-town-karachi-20-58,2,"",I,,Y,Total Price,221,E,N,1,"",24,1,New,Normal,"",Y,Y
